"search.str";"lat";"lon"
"Myrcia subavenia";-20,129167;-43,515
"Eugenia modesta";-19,889444;-43,368333
"Psidium myrtoides";-20,098611;-43,487222
"Myrcia multiflora";-20,098611;-43,487222
"Psidium oblongatum";-18,983056;-40,740278
"Eugenia sonderiana";-19,016389;-43,391111
NA;NA;NA
"Zeyheria tuberculosa";-19,444722;-43,328611
"Myrcia concisa";-20,760278;-42,544444
"Eugenia laruotteana";-19,415;-43,430833
"Pseudobombax grandiflorum";-20,066667;-41,033333
"Myrcia eumecephylla";-18,907028;-40,747222
"Diospyros apeibacarpos";-19,45;-40,1
"Jacaranda pulcherrima";-20,25;-43,5
"Guatteria pogonopus";-19,91666;-40,6
"Sparattosperma leucanthum";-19,75;-42,61666
"Swartzia apetala";-19,76666;-42,6
"Myrcia teresensis";-19,91666;-40,6
"Psychotria cupularis";-19,73638;-41,81888
"Ravenia infelix";-19,5486;-40,4347
"Pseudima frutescens";-19,4732;-40,1828
"Funifera grandifolia";-19,2;-40,416667
"Andradea floribunda";-19,15;-40,383333
"Psychotria subspathulata";-19,704444;-43,516389
"Vernonanthura divaricata";-19,7;-42,6
"Diplusodon virgatus";-20,4;-43,5
"Leandra fallacissima";-19,91666;-40,6
"Coussarea leptopus";-19,91666;-40,6
"Cordia taguahyensis";-19,36666;-40,11666
"Miconia rubiginosa";-19,76666;-42,6
"Tabebuia elliptica";-19,41666;-40,06666
"Lychnophora ericoides";-20,1;-43,46666
"Myrcia lasiantha";-19,766667;-42,6
"Leandra aurea";-20,249722;-42,149722
"Abarema filamentosa";-19,76666;-42,6
"Erythrina verna";-19,76666;-42,46666
"Joannesia princeps";-19,73333;-42,61666
"Handroanthus vellosoi";-20,25;-43,5
"Cordia trichotoma";-19,85027;-42,14166
"Tabernaemontana salzmannii";-19,416667;-40,066667
"Guatteria pohliana";-19,916667;-43,466667
"Cecropia glaziovii";-20,756822;-42,876638
"Guatteria tomentosa";-19,31751;-40,05884
"Cecropia hololeuca";-19,65;-42,58
"Bougainvillea spectabilis";-20,287328;-42,340028
"Eriobotrya japonica";-19,047059;-42,827332
"Carica papaya";-19,012906;-40,548904
"Artocarpus heterophyllus";-18,778889;-42,223056
"Gymnanthemum amygdalinum";-19,467222;-42,539165
"Ilex paraguariensis";-18,448889;-43,351111
"Solanum bullatum";-20,166667;-42,166667
"Ficus gomelleira";-19,391111;-40,071944
"Ficus pertusa";-20,7586;-42,8425
"Ilex conocarpa";-20,3875;-43,505833
"Xylopia decorticans";-19,995278;-43,521389
"Tabernaemontana catharinensis";-19,766667;-42,616667
"Triplaris americana";-19,47026;-42,541865
"Duguetia chrysocarpa";-19,148611;-40,457778
"Oxandra espintana";-19,233333;-39,916667
"Emmotum nitens";-19,67;-41,83
"Miconia chartacea";-19,9632093958864;-43,4154792631713
"Caryocar edule";-19,3949002236543;-40,071853011446
"Solanum warmingii";-20,2621158114588;-42,0333858659022
"Siparuna guianensis";-19,67;-41,83
"Tovomita fructipendula";-19,3949002236543;-40,071853011446
"Roupala montana";-19,948004;-43,248576
"Miconia polyandra";-19,8028;-40,7719
"Coussapoa floccosa";-20,761343;-42,868031
"Diploon cuspidatum";-19,3949002236543;-40,071853011446
"Agarista eucalyptoides";-18,2973786558272;-43,0093502652758
