"search.str";"lat";"lon"
"Eugenia florida";-20,473056;-43,490833
"Myrcia vauthiereana";-20,434722;-43,51
"Myrcia hartwegiana";-20,369083;-43,508472
"Solanum cernuum";-20,269694;-43,297194
"Vochysia thyrsoidea";-20,502556;-43,6295
"Siparuna brasiliensis";-20,377778;-43,416111
"Euplassa rufa";-20,434878;-43,509672
"Pleroma candolleanum";-20,430278;-43,507222
"Trembleya laniflora";-20,475278;-43,550278
"Eremanthus crotonoides";-20,383333;-43,5
"Cyathea dichromatolepis";-20,47925;-43,429028
"Cyathea corcovadensis";-20,431944;-43,488889
"Miconia longicuspis";-20,833333;-43,488889
"Inga sessilis";-20,431944;-43,488889
"Hirtella floribunda";-20,421917;-43,443611
"Ocotea nutans";-20,420306;-43,448861
"Ilex euryaeformis";-20,431944;-43,488889
"Vismia parviflora";-20,43225;-43,507417
"Miconia valtheri";-20,438;-43,524222
"Inga vulpina";-20,369583;-43,507806
"Eremanthus glomerulatus";-20,382069;-43,506397
"Pereskia grandifolia";-20,377778;-43,416111
"Stryphnodendron polyphyllum";-19,397;-43,401611
"Inga barbata";-20,418139;-43,444639
"Siphoneugena crassifolia";-20,439361;-43,520028
"Palicourea blanchetiana";-20,298611;-43,214167
"Vernonanthura petiolaris";-19,7;-42,6
"Dalbergia miscolobium";-19,990278;-42,695556
"Austrocritonia angulicaulis";-19,77;-42,6
"Couepia monteclarensis";-19,15;-40,5
"Miconia nervosa";-18,975556;-40,769444
"Andira ormosioides";-18,875556;-40,814444
"Myrcia plusiantha";-18,875556;-40,814444
"Schizocalyx cuspidatus";-18,875556;-40,814444
"Wunderlichia azulensis";-18,975556;-40,769444
"Miconia flammea";-19,741389;-40,981111
"Seguieria langsdorffii";-19,814167;-40,678056
"Parapiptadenia pterosperma";-19,662222;-41,036667
"Rudgea minor";-19,760833;-40,739444
"Persea rufotomentosa";-19,275833;-40,463333
"Trichilia magnifoliola";-19,275833;-40,463333
"Bunchosia macilenta";-19,805556;-40,681389
"Cordia trichoclada";-18,944167;-40,798611
"Myrcia cerqueiria";-19,348333;-40,551111
"Pavonia alnifolia";-19,906111;-40,601944
"Cyathea phalerata";-18,875556;-40,814444
"Sorocea racemosa";-19,275833;-40,463333
"Meliosma sellowii";-18,875556;-40,814444
"Abarema barnebyana";-18,875556;-40,814444
"Macrotorus utriculatus";-18,875556;-40,814444
"Hirtella insignis";-18,875556;-40,814444
"Cnidoscolus oligandrus";-19,805556;-40,681389
"Clusia aemygdioi";-19,979825;-40,763742
"Tabebuia reticulata";-20,076667;-41,046389
"Clusia melchiorii";-19,741389;-40,981111
"Picramnia glazioviana";-19,741389;-40,981111
"Leandra quinquenodis";-19,741389;-40,981111
"Pilocarpus spicatus";-19,805111;-40,691611
"Sorocea hilarii";-19,807917;-40,67475
"Manihot tripartita";-19,760833;-40,739444
"Guatteria campestris";-19,288056;-40,465556
"Lecythis pisonis";-19,248889;-40,416389
"Dalbergia nigra";-19,288056;-40,465556
"Sloanea hirsuta";-19,282722;-40,464361
"Eugenia melanogyna";-19,143194;-40,460889
"Pavonia crassipedicellata";-19,288056;-40,465556
"Mollinedia glabra";-19,146389;-40,457778
"Pradosia lactescens";-19,751111;-40,934722
"Myrcia ferruginosa";-19,751111;-40,934722
"Senegalia irwinii";-19,288056;-40,465556
"Ternstroemia cuneifolia";-19,803333;-40,7725
"Zanthoxylum tingoassuiba";-19,348333;-40,551111
"Casearia oblongifolia";-19,887222;-40,795833
"Eriotheca saxicola";-19,348333;-40,551111
"Beilschmiedia taubertiana";-19,351944;-40,514167
"Myrcia pubiflora";-19,348333;-40,551111
"Cordia trachyphylla";-19,12775;-40,610833
"Pterygota brasiliensis";-19,846889;-40,907278
"Neomitranthes stictophylla";-18,944167;-40,812778
"Inga hispida";-19,097722;-40,594583
"Ocotea daphnifolia";-19,348333;-40,551111
"Eugenia pauciflora";-19,125167;-40,611417
"Ceiba erianthos";-19,8375;-40,6325
"Cupania rugosa";-19,011833;-40,548583
"Pseudobombax petropolitanum";-19,805556;-40,681389
"Clusia organensis";-19,022778;-40,648056
"Swartzia linharensis";-19,325556;-40,488889
"Albizia polycephala";-19,022833;-40,648
"Henriettea glabra";-19,931111;-40,683611
"Kielmeyera occhioniana";-18,988611;-40,698056
"Neomitranthes warmingiana";-19,931111;-40,683611
"Campomanesia eugenioides";-19,022833;-40,648
"Gallesia integrifolia";-19,888889;-40,824722
"Genipa infundibuliformis";-19,489542;-40,865425
"Garcinia brasiliensis";-19,348333;-40,551111
"Clusia spiritu-sanctensis";-19,348333;-40,551111
"Pseudoxandra spiritus-sancti";-19,844722;-40,541944
"Plinia pseudodichasiantha";-19,844722;-40,541944
"Psidium ovale";-19,915556;-40,65
"Guatteria capixabae";-19,915556;-40,65
"Rudgea nodosa";-19,348333;-40,551111
"Cupania racemosa";-19,325556;-40,488889
"Chomelia tristis";-19,348333;-40,551111
"Annona sylvatica";-19,780833;-40,604167
"Byrsonima nitidifolia";-19,022833;-40,648
"Merianthera pulchra";-19,768056;-40,756389
"Miconia ligustroides";-19,833889;-40,793333
"Ocotea ciliata";-19,022833;-40,648
"Siparuna cymosa";-19,833889;-40,793333
"Eugenia francavilleana";-19,833889;-40,793333
"Myrcia mutabilis";-19,833889;-40,793333
"Myrsine venosa";-19,888889;-40,824722
"Eugenia bahiensis";-19,888889;-40,824722
"Machaerium robsonnianum";-19,888889;-40,824722
"Eugenia plicatocostata";-19,757222;-40,6875
"Spondias tuberosa";-19,575;-41,011667
"Inga subnuda";-19,814167;-40,678056
"Myrsine hermogenesii";-19,844722;-40,541944
"Ocotea indecora";-19,887222;-40,795833
"Annona dolabripetala";-19,844722;-40,541944
"Eugenia valsuganana";-19,844722;-40,541944
"Spondias venulosa";-19,814167;-40,678056
"Leandra amplexicaulis";-19,807222;-40,769722
"Miconia fasciculata";-19,8038;-40,7686
"Ossaea suprabasalis";-19,799667;-40,535833
"Miconia cinnamomifolia";-19,8038;-40,7686
"Rudgea interrupta";-18,975556;-40,769444
"Ormosia arborea";-19,449611;-40,800278
"Meriania calophylla";-19,171667;-40,868889
"Ouratea vaccinioides";-19,796944;-40,775278
"Merianthera verrucosa";-19,834722;-40,6875
"Nectandra grandiflora";-19,888889;-40,824722
"Tontelea miersii";-19,931111;-40,683611
"Monteverdia distichophylla";-19,348333;-40,551111
"Eugenia zuccarinii";-18,971944;-40,662778
"Salacia grandifolia";-18,871389;-40,812778
"Myrcia basicordata";-19,915556;-40,65
"Allophylus leucoclados";-18,871389;-40,812778
"Bauhinia ovata";-18,955833;-40,801389
"Eugenia astringens";-18,974444;-40,661944
"Chrysophyllum januariense";-19,282778;-40,463333
"Spondias expeditionaria";-19,888889;-40,824722
"Ficus cyclophylla";-19,248889;-40,416389
"Machaerium fulvovenosum";-19,248889;-40,416389
"Couratari asterotricha";-19,281667;-40,461944
"Centrolobium tomentosum";-19,552222;-40,820278
"Handroanthus bureavii";-19,887222;-40,575556
"Handroanthus pedicellatus";-19,814167;-40,678056
"Pleroma fissinervium";-19,230833;-40,876389
"Rustia formosa";-19,351944;-40,514167
"Tabebuia obtusifolia";-19,899167;-40,798056
"Cnidoscolus hamosus";-18,994167;-40,696111
"Melanoxylon brauna";-18,994167;-40,696111
"Molopanthera paniculata";-18,978056;-40,665556
"Eugenia ischnosceles";-18,973889;-40,664444
"Esenbeckia leiocarpa";-18,978611;-40,746944
"Dimorphandra jorgei";-18,978056;-40,665556
"Ficus hirsuta";-19,345972;-40,549389
"Miconia trianae";-18,921111;-41,115278
"Trichilia casaretti";-19,248889;-40,416389
"Machaerium pedicellatum";-19,281667;-40,461944
"Lonchocarpus praecox";-19,815556;-40,697139
"Kielmeyera membranacea";-19,906111;-40,601944
"Pouteria butyrocarpa";-19,906111;-40,601944
"Ficus eximia";-19,700278;-40,578056
"Ficus holosericea";-19,800278;-40,691389
"Solanum rufescens";-19,906389;-40,590278
