spp
Cryptocarya micrantha
Piptocarpha axillaris
Qualea lundii
Psidium robustum
Macropeplus ligustrinus
Ouratea salicifolia
Ocotea insignis
Lacistema robustum
Chrysophyllum viride
Simira sampaioana
Conchocarpus macrocarpus
Astronium nelson-rosae
Protium glaziovii
Persea major
Miconia pepericarpa
Myrceugenia brevipedicellata
Rauvolfia sellowii
Baccharis oreophila
Guatteria notabilis
Pachira endecaphylla
Andira anthelmia
Cordia silvestris
Coccoloba alnifolia
Moldenhawera papillanthera
Hymenolobium alagoanum
Byrsonima clausseniana
Tabernaemontana solanifolia
Tachigali vulgaris
Byrsonima laxiflora
Myrcia neoblanchetiana
Miconia sclerophylla
Hirtella martiana
Byrsonima lancifolia
Simira eliezeriana
Trichilia elegans
Licania arianeae
Stephanopodium blanchetianum
Hirtella sprucei
Ouratea cuspidata
Jacaranda bracteata
Exostyles venusta
Miconia kollmannii
Casearia melliodora
Trattinnickia mensalis
Licania naviculistipula
Miconia shepherdii
Metrodorea maracasana
Ocotea arenicola
Vochysia elliptica
Himatanthus drasticus
Chomelia brasiliana
Qualea selloi
Pouteria pachycalyx
Licania spicata
Handroanthus riodocensis
Byrsonima stannardii
Cupania tenuivalvis
Kielmeyera altissima
Casearia eichleriana
Ludwigia anastomosans
Aspidosperma pyricollum
Lychnophora granmogolensis
Clusia fluminensis
Mimosa caesalpiniifolia
Matayba discolor
Kielmeyera sigillata
Dasyphyllum spinescens
Hymenaea aurea
Myrceugenia acutiflora
Psidium cauliflorum
Sloanea obtusifolia
Calycophyllum papillosum
Couepia rufa
Prunus chamissoana
Chionanthus ferrugineus
Celtis orthacanthos
Lychnophora gardneri
Symplocos platyphylla
Leucochloron incuriale
Stryphnodendron adstringens
Chusquea meyeriana
Inga platyptera
Monteverdia megalocarpa
Lychnophora salicifolia
Erythroxylum affine
Vochysia saldanhana
Machaerium salzmannii
Casearia pauciflora
Gaylussacia salicifolia
Pseudopiptadenia brenanii
Banara serrata
Jacaranda jasminoides
Conchocarpus adenantherus
Tocoyena brasiliensis
Zanthoxylum nemorale
Ocotea pluridomatiata
Pouteria macahensis
Ocotea beyrichii
Myrcia gestasiana
Rinorea bahiensis
Inga lanceifolia
Ruprechtia latifunda
Eugenia flamingensis
Myrcia springiana
Matayba intermedia
Waltheria cinerascens
Duguetia sooretamae
Gorceixia decurrens
Vochysia oppugnata
Lychnophora rosmarinifolia
Croton salutaris
Chomelia hirsuta
Trichilia tetrapetala
Inga lenticellata
Senegalia hatschbachii
Rudgea recurva
Pseudopiptadenia leptostachya
Byrsonima fonsecae
Cordia magnoliifolia
Eugenia moonioides
Oxandra martiana
Nectandra gardneri
Terminalia januariensis
Miconia paradoxa
Mimosa cubatanensis
Goniorrhachis marginata
Guatteria macropus
Terminalia mameluco
Neomitranthes langsdorffii
Chamaecrista duartei
Vismia pentagyna
Cordia hatschbachii
Eugenia subterminalis
Trigynaea oblongifolia
Hymenaea fariana
Senegalia paganuccii
Clusia diamantina
Handroanthus selachidentatus
Couepia belemii
Manilkara salzmannii
Manilkara longifolia
Manilkara elata
Manilkara triflora
Aniba heringeri
Cyathea hirsuta
Alsophila sternbergii
Ocotea minarum
Bathysa stipulata
Monteverdia macrophylla
Agarista revoluta
Riodocea pulcherrima
Faramea atlantica
Leandra tetraquetra
